,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
25163,b5ea8d8e15cd7cf77a9575c7edc01a3a8d189c9d,5.0,1.0,3.0,3.0,1.0,0.0,1979,3,5,35.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
26385,d3b2a2665fd0f6ae65b37a9a22aec9847082ddda,5.0,1.0,1.0,3.0,1.0,1.0,1996,7,8,35.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
26466,179b3263553731a4e6150f5dc2ee34ef8cfa9089,5.0,1.0,3.0,3.0,1.0,1.0,1997,2,7,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
26512,6cb9b1ff078d120a13d87ee45fa9578d0839f1ef,5.0,2.0,1.0,3.0,1.0,1.0,1989,3,16,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
26699,b7bbd50a0eefd224530bba471ad05d864fc8bf3f,1.0,4.0,1.0,3.0,1.0,1.0,1974,11,29,42.0,2014-01-01,,,0.0,0.0,Serviços
26780,48afd21d7a811464521ed18285f61ae7df7ec6d3,1.0,4.0,1.0,3.0,1.0,1.0,1992,6,15,35.0,2015-01-01,,,1.0,0.0,Serviços
27313,3e510ac035566b0442f2463eebeb7dc189424568,1.0,4.0,1.0,3.0,1.0,1.0,1996,10,15,42.0,2014-01-01,,,0.0,0.0,Serviços
27533,e06f890d3f3f1186fc5b303ca18197ce46621120,5.0,1.0,3.0,3.0,1.0,1.0,1993,12,9,42.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
27749,2b86f093b7b886650f3a31df59df89ccde2d38b0,1.0,4.0,1.0,3.0,1.0,1.0,1989,7,6,35.0,2016-01-01,,,0.0,0.0,Serviços
27858,7b6002c3b353b33d78a9e6f78479d3c81f55dba7,1.0,4.0,1.0,3.0,1.0,1.0,1996,4,5,,2014-01-01,,0.0,1.0,0.0,Serviços
27985,7da847284dea0e504f0e45dd1d7ef2e8f4ca805b,4.0,3.0,3.0,3.0,1.0,0.0,1990,10,12,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
